epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1033,2.99386,4.05003,0,4.56519,5.32355,0,0,0,0,0.00065,0.19615,0.00039,6e-05,4.94794,4.44039,0,5.12596,5.6822,0.00065,0.00065,0.00065
2,20.9259,2.48742,3.03129,0,3.00021,3.82312,0,0,0,0,0.00067,0.2,0.00042,7e-05,4.43314,4.34076,0,4.14152,5.13382,0.00131341,0.00131341,0.00131341
3,29.3108,2.14687,2.43256,0,2.28599,3.34798,0.63156,0.21098,0.3606,0.09586,0.79275,0.26482,0.48892,0.16948,2.89276,2.88298,0,2.62142,3.75553,0.00197352,0.00197352,0.00197352
4,38.0537,2.0295,1.63944,0,1.79386,3.14636,0.17804,0.35962,0.12189,0.02398,0.69805,0.77885,0.78988,0.4161,3.33343,1.70917,0,2.21756,4.73871,0.00198515,0.00198515,0.00198515
5,46.305,1.82979,1.22547,0,1.55525,2.94639,0.36898,0.475,0.25821,0.04624,0.72839,0.87674,0.78996,0.38856,3.25847,1.68135,0,1.87524,4.56403,0.0019802,0.0019802,0.0019802
6,54.55,1.78287,1.05798,0,1.47403,2.83463,0.54279,0.68719,0.51447,0.13116,0.84477,0.88954,0.9178,0.60134,2.69156,0.98763,0,1.4992,3.80017,0.00197525,0.00197525,0.00197525
7,62.8522,1.73876,0.87747,0,1.39838,2.79499,0.61761,0.82308,0.71013,0.31895,0.71709,0.87738,0.83899,0.72184,1.70316,0.57081,0,1.25735,2.59676,0.0019703,0.0019703,0.0019703
8,71.5608,1.62671,0.77882,0,1.34899,2.67593,0.36048,0.57235,0.29895,0.06377,0.8646,0.86346,0.93347,0.77532,2.80061,0.53743,0,2.55972,4.04287,0.00196535,0.00196535,0.00196535
9,79.7839,1.63192,0.73382,0,1.30168,2.65224,0.41093,0.81154,0.41807,0.11554,0.90142,0.94958,0.96389,0.90225,2.71179,0.4011,0,1.68374,3.76384,0.0019604,0.0019604,0.0019604
10,88.0957,1.61515,0.71039,0,1.28307,2.62005,0.85826,0.89664,0.91292,0.44029,0.886,0.92661,0.95287,0.87978,1.65716,0.36912,0,1.04385,2.53853,0.00195545,0.00195545,0.00195545
11,96.5009,1.5911,0.65645,0,1.21639,2.58429,0.55834,0.8047,0.59221,0.18769,0.88407,0.93857,0.95705,0.90534,2.36755,0.35605,0,1.41976,3.29392,0.0019505,0.0019505,0.0019505
12,104.874,1.55603,0.58973,0,1.18618,2.53889,0.81225,0.87308,0.87093,0.39968,0.91986,0.97123,0.96564,0.9044,1.71715,0.30227,0,1.20019,2.56829,0.00194555,0.00194555,0.00194555
13,113.209,1.55559,0.60232,0,1.21763,2.50986,0.64292,0.84423,0.77348,0.30142,0.86937,0.97268,0.9654,0.8948,1.8127,0.31583,0,1.38345,2.68468,0.0019406,0.0019406,0.0019406
14,121.746,1.53791,0.59077,0,1.21672,2.5327,0.37809,0.65122,0.31754,0.07857,0.91289,0.94423,0.96139,0.84992,2.55318,0.38658,0,3.2903,3.65419,0.00193565,0.00193565,0.00193565
15,130.282,1.51776,0.55748,0,1.23007,2.49731,0.63919,0.85851,0.71983,0.28288,0.9013,0.975,0.96583,0.93005,1.74184,0.29664,0,1.31416,2.53247,0.0019307,0.0019307,0.0019307
